ceb,1198167,35238
ceb,1253768,31472
ceb,1254306,28817
ceb,1248190,28466
ceb,1227099,29403
ceb,1219981,29518
ceb,1276559,26462
ceb,1251593,29847
ceb,1282437,30019
ceb,1233935,30390
ceb,1262103,28600
ceb,1228465,29314
ceb,1258111,29948
ceb,1245106,30574
ceb,1234350,30772
ceb,1223007,31502
ceb,1250829,29028
ceb,1244273,29655
ceb,1245262,29555
ceb,1256244,29323
ceb,1258878,28099
ceb,1242961,28339
ceb,1268319,28507
ceb,1262880,28607
ceb,1270382,28841
ceb,1256147,28230
ceb,1230490,29072
ceb,1217419,30735
ceb,1263875,27642
ceb,1300714,23907
ceb,1280253,26685
ceb,1249024,27473
ceb,1258802,28016
ceb,1278155,29120
ceb,1248939,28122
ceb,1266187,28293
ceb,1254238,28796
ceb,1268202,28166
ceb,1268227,28283
ceb,1267571,27225
ceb,1277592,28102
ceb,1309548,28091
ceb,1591775,10371
ceb,1584221,12726
ceb,1466574,22888
ceb,1510894,18846
ceb,1479000,18028
ceb,1535378,15511
ceb,1622843,8926
ceb,1586359,11061
ceb,1508115,19419
ceb,1645218,9886
ceb,1596771,9987
ceb,1572153,12725
ceb,1418066,25679
ceb,1526697,16548
ceb,1582565,11706
ceb,1549191,14133
ceb,1570916,12991
ceb,1550241,12339
ceb,1550151,12749
ceb,1533488,13446
ceb,1550798,13244
ceb,1576601,12761
ceb,1569892,12968
ceb,1566540,12802
ceb,1474768,19532
ceb,1327407,34202
ceb,1587006,10660
ceb,1601221,10604
ceb,1585414,11276
ceb,1622532,10899
ceb,1595653,10328
ceb,1582868,9142
ceb,1597389,10657
ceb,1602681,11776
ceb,1583232,13315
ceb,1607405,10962
ceb,1653487,8049
ceb,1668520,10046
ceb,1628302,10692
ceb,1664990,8164
ceb,1319005,32047
ceb,1588168,14889
ceb,1558830,15699
ceb,1564606,14083
ceb,1549716,11062
ceb,1544822,10669
ceb,1545598,10762
ceb,1556834,10220
ceb,1552760,10732
ceb,1493335,12648
ceb,1553095,12234
ceb,1598040,12123
ceb,1645745,10778
ceb,1650450,10845
ceb,1341627,35018
ceb,1188126,43923
ceb,1422595,19965
ceb,1505123,16970
ceb,1636112,8960
ceb,1580445,13425
ceb,1625907,11577
ceb,1515184,19527
ceb,1537927,15084
ceb,1501419,16559
ceb,1597055,12310
ceb,1571587,12184
ceb,1515712,19612
ceb,1611996,11598
ceb,1620969,10681
ceb,1578654,12237
ceb,1584680,14688
ceb,1581995,13854
ceb,1557688,14459
ceb,1573977,14607
ceb,1578170,14305
ceb,1567257,15115
ceb,1666533,10545
ceb,1670074,10268
ceb,1644791,10589
ceb,1615407,12733
ceb,1580724,13614
ceb,1597951,12742
ceb,1584826,12563
ceb,1470081,18470
ceb,1573116,14400
ceb,1580882,14279
ceb,1403651,23202
ceb,1433485,16924
ceb,1376631,19000
ceb,1409912,18569
ceb,1474518,20242
ceb,1579645,12114
ceb,1480759,17664
ceb,1466078,19941
ceb,1559251,11378
ceb,1522451,15111
ceb,1551905,13758
ceb,1579208,10177
ceb,1274299,35365
ceb,1595871,11555
ceb,1586861,14043
ceb,1580494,15710
ceb,1601407,13404
ceb,1565075,11560
ceb,1574660,8458
ceb,1578538,8758
ceb,1567745,8964
ceb,1555701,9254
ceb,1565190,9904
ceb,1548580,10602
ceb,1556434,10815
ceb,1548969,10787
ceb,1521526,11990
ceb,1621090,8529
ceb,1594658,9016
ceb,1594802,9278
ceb,1621027,8328
ceb,1581499,13167
ceb,1456458,18990
ceb,1553134,9711
ceb,1546997,11024
ceb,1575621,12147
ceb,1374028,31181
ceb,1558687,15684
ceb,1608292,10225
ceb,1616469,11183
ceb,1606495,11014
ceb,1649183,8850
ceb,1641188,10090
ceb,1665607,8834
ceb,1674894,8981
ceb,1648097,7866
ceb,1653541,7892
ceb,1661596,7932
ceb,1674645,9027
ceb,1675729,8671
ceb,1683789,8825
ceb,1655100,9152
ceb,1658703,9271
ceb,1632446,10693
ceb,1206194,40287
ceb,1374567,28953
ceb,1537286,14124
ceb,1525582,12005
ceb,1477757,15571
ceb,1518228,12768
ceb,1541287,9857
ceb,1528812,9436
ceb,1528609,9966
ceb,1513148,11251
ceb,1540904,9392
ceb,1538351,9296
ceb,1541081,9243
ceb,1544883,9277
ceb,1538756,9303
ceb,1537137,9299
ceb,1530917,9145
ceb,1530458,9139
ceb,1543154,9273
ceb,1536817,9303
ceb,1534185,9346
ceb,1386199,19575
ceb,1393494,19786
ceb,1503335,13378
ceb,1560476,9471
ceb,1569005,9561
ceb,1541971,9912
ceb,1528229,10058
ceb,1428400,17443
ceb,1429773,18845
ceb,1597716,11302
ceb,1615923,10515
ceb,1448847,24269
ceb,1636686,9510
ceb,1630414,9103
ceb,1625502,9497
ceb,1591391,11862
ceb,1590755,12213
ceb,1572298,10754
ceb,1538627,11087
ceb,1602928,11176
ceb,1599830,11075
ceb,1600472,9677
ceb,1354519,29861
ceb,1583684,10696
ceb,1529241,11943
ceb,1531397,12719
ceb,1541902,12138
ceb,1552102,12246
ceb,1599826,11379
ceb,1562602,13032
ceb,1445136,19649
ceb,1454486,20001
ceb,1615581,10945
ceb,1624705,11270
ceb,1667721,9153
ceb,1610631,10853
ceb,1615231,10148
ceb,1586083,9998
ceb,1505947,17610
ceb,1463963,23290
ceb,1383825,28114
ceb,1376590,30031
ceb,1471521,21266
ceb,1654974,8704
ceb,1647743,8738
ceb,1618779,9494
ceb,1583280,11410
ceb,1570160,9929
ceb,1574542,11055
ceb,1628990,10874
ceb,1617330,13763
ceb,1629355,10789
ceb,1574896,9805
