Language	Language(local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
Newar	नेपाल भाषा	new	72,141	196,176	843,266	1	17,874	12	0	12.71
Albanian	shqip	sq	71,898	197,745	1,971,392	10	99,966	273	11,424	30.54
Telugu	తెలుగు	te	68,542	225,300	2,275,257	15	68,596	166	11,567	52.82
Southern Azerbaijani	تۆرکجه	azb	67,970	102,047	306,328	4	8,995	71	0	0.75
Cantonese	粵語	zh-yue	64,654	165,762	1,204,414	9	148,714	287	1,250	17.77
Piedmontese	Piemontèis	pms	64,290	98,297	869,066	9	17,973	34	2,078	2.47
Breton	brezhoneg	br	63,773	125,784	1,859,720	7	47,128	100	5,403	13.98
Belarusian (Taraškievica)	беларуская (тарашкевіца)‎	be-tarask	62,079	164,260	2,028,130	5	52,991	106	1,484	33.45
Asturian	asturianu	ast	58,534	92,127	1,222,226	9	41,672	93	0	4.37
Bengali	বাংলা	bn	55,494	554,705	2,960,349	19	168,008	791	4,565	431.87
Malayalam	മലയാളം	ml	54,243	351,591	2,688,290	17	102,237	289	5,490	229.76
Javanese	Basa Jawa	jv	53,020	140,904	1,428,436	8	34,050	108	5,451	27.85
Haitian	Kreyòl ayisyen	ht	51,687	63,368	704,097	2	18,464	22	0	0.57
Luxembourgish	Lëtzebuergesch	lb	51,157	112,542	2,165,961	5	37,895	96	2,554	27.71
Marathi	मराठी	mr	50,573	208,766	1,602,453	8	83,632	684	19,322	75.1
Scots	Scots	sco	48,806	175,265	644,770	4	46,226	91	1,269	24.7
Afrikaans	Afrikaans	af	48,720	117,497	1,695,007	13	95,786	144	8,581	28.75
Irish	Gaeilge	ga	46,290	77,104	905,103	8	33,217	74	1,189	5.2
Western Punjabi	پنجابی	pnb	45,933	64,728	524,932	2	20,037	40	238	1.36
Icelandic	íslenska	is	44,200	117,368	1,635,265	24	58,693	134	3,014	38.18
Bashkir	башҡортса	ba	41,188	120,029	786,002	7	20,569	85	1,289	23.99
Chuvash	Чӑвашла	cv	40,924	70,353	637,663	2	21,824	47	536	4.69
West Frisian	Frysk	fy	39,510	115,634	936,411	10	28,330	81	6,305	30.06
Sundanese	Basa Sunda	su	39,433	67,517	555,712	7	18,812	51	539	4.17
Swahili	Kiswahili	sw	39,258	91,757	1,065,239	9	30,168	111	2,088	20.76
Burmese	မြန်မာဘာသာ	my	38,018	78,799	393,076	4	47,804	81	3,488	5.74
Lombard	lumbaart	lmo	36,694	96,172	1,114,119	6	21,447	54	4,437	30.44
Aragonese	aragonés	an	32,671	104,980	1,649,454	6	46,379	69	1,230	76.97
Yoruba	Yorùbá	yo	31,607	54,582	564,981	2	16,412	33	174	5.47
Nepali	नेपाली	ne	30,362	85,816	631,698	11	35,285	87	586	24.56
